dim,bits,algo,param,runtime,final_norm
45,36,LLL,0.9,0.00698399543762207,131795969147.87134
45,36,LLL,0.99,0.008273601531982422,131795969147.87134
45,36,BKZ,2.0,0.010312080383300781,131795969147.87134
45,36,BKZ,10.0,0.02537679672241211,129017867771.80095
45,36,BKZ,20.0,0.026015758514404297,129017867771.80095
30,26,LLL,0.75,0.0027382373809814453,135586636.54019523
30,26,LLL,0.9,0.002475738525390625,111176330.61852533
30,26,LLL,0.99,0.002669095993041992,99458308.12980215
30,26,BKZ,2.0,0.003981828689575195,99458308.12980215
30,26,BKZ,10.0,0.009366989135742188,89200700.48257515
30,26,BKZ,20.0,0.009809732437133789,89200700.48257515
60,25,LLL,0.75,0.014407634735107422,111523324.06761113
60,25,LLL,0.9,0.01555943489074707,100944370.40749554
60,25,LLL,0.99,0.01734614372253418,87928112.46327661
60,25,BKZ,2.0,0.02306509017944336,87928112.46327661
60,25,BKZ,10.0,0.05066990852355957,79211263.28737347
60,25,BKZ,20.0,0.04903221130371094,79211263.28737347
